"","time","S","I","R","V","Total"
"1",1,99.4999,1e-04,0.5,0.5,1e-04
"2",2,98.9998295532568,0.000140640095370097,1.00002980664784,1,0.000170446743204831
"3",3,98.4997317801565,0.000196624623210941,1.50007159522027,1.5,0.000268219843483701
"4",4,97.9995968885992,0.000273274810158057,2.0001298365906,2,0.000403111400761357
"5",5,97.4994118907806,0.000377577968712114,2.50021053125072,2.5,0.000588109219427942
"6",6,96.9991596707011,0.000518647242112079,3.0003216820568,3,0.000840329298912018
"7",7,96.4988178207264,0.000708285851486956,3.50047389342211,3.5,0.00118217927359806
"8",8,95.9983571992712,0.000961674755157257,4.0006811259737,4,0.00164280072885327
"9",9,95.4977401485507,0.00129820662530926,4.50096164482397,4.5,0.00225985144927367
"10",10,94.9969183313673,0.00174247849653257,5.00133919013622,5,0.00308166863275158
"11",11,94.4958301061303,0.00232547101019182,5.50184442285948,5.5,0.00416989386967082
"12",12,93.9943973822928,0.00308592894486289,6.00251668876233,6,0.0056026177071911
"13",13,93.4925218848261,0.00407196072123368,6.50340615445268,6.5,0.00747811517391323
"14",14,92.9900807578892,0.00534286969140603,7.00457637241939,7,0.00991924211079348
"15",15,92.4869214434509,0.00697122307762113,7.50610733347151,7.5,0.0130785565491315
"16",16,91.9828557782718,0.00904515598481523,8.00809906574342,8,0.0171442217282363
"17",17,91.477653266701,0.0116708953864091,8.51067583791264,8.5,0.0223467332990519
"18",18,90.9710335093142,0.0149754725389322,9.01399101814686,9,0.0289664906857911
"19",19,90.462657797446,0.0191095743331724,9.51823262822084,9.5,0.0373422025540174
"20",20,89.952119925284,0.0242504526022925,10.0236296221137,10,0.0478800747159782
"21",21,89.4389363262694,0.0306047869610098,10.5304588867697,10.5,0.061063673730664
"22",22,88.922535707166,0.0384113539697089,11.0390529388643,11,0.0774642928340296
"23",23,88.4022484409541,0.047943314146757,11.5498082448991,11.5,0.097751559045896
"24",24,87.8772960792204,0.0595098794375602,12.063194041342,12,0.122703920779601
"25",25,87.3467814648228,0.0734570703557575,12.5797614648215,12.5,0.153218535177238
"26",26,86.809680065289,0.090167213200758,13.1001527215103,13,0.190319934711074
"27",27,86.2648332939197,0.11005677436548,13.6251099317148,13.5,0.235166706080306
"28",28,85.7109447408091,0.133572079720728,14.1554831794702,14,0.289055259190915
"29",29,85.1465803947133,0.16118242944204,14.6922371758447,14.5,0.353419605286758
"30",30,84.5701740633417,0.193370112462791,15.2364558241955,15,0.429825936658282
"31",31,83.9800393015052,0.230616851020818,15.789343847474,15.5,0.519960698494837
"32",32,83.3743891360547,0.273386305229319,16.352224558716,16,0.625610863945312
"33",33,82.7513648991851,0.322102394090559,16.9265327067243,16.5,0.748635100814886
"34",34,82.1090750983531,0.377123493428875,17.513801408218,17,0.890924901646905
"35",35,81.4456449795811,0.4387128826641,18.1156421377549,17.5,1.05435502041896
"36",36,80.759276758798,0.507006296791177,18.7337169444108,18,1.24072324120202
"37",37,80.0483196705084,0.581977992227106,19.3697023372645,18.5,1.45168032949162
"38",38,79.3113479587315,0.663407338141631,20.0252447031269,19,1.68865204126851
"39",39,78.5472437530441,0.750848542719413,20.7019077042365,19.5,1.95275624695596
"40",40,77.7552805738379,0.843606608316623,21.4011128178455,20,2.24471942616215
"41",41,76.9352021367288,0.940722871436893,22.1240749918343,20.5,2.56479786327124
"42",42,76.0872903706174,1.04097340122956,22.871736228153,21,2.9127096293826
"43",43,75.2124163273991,1.14288300439598,23.6447006682049,21.5,3.28758367260093
"44",44,74.3120681054732,1.24475656975746,24.4431753247694,22,3.68793189452684
"45",45,73.3883511188842,1.34472801782022,25.2669208632956,22.5,4.11164888111583
"46",46,72.4439579831803,1.44082533392436,26.1152166828954,23,4.55604201681972
"47",47,71.482107783518,1.53104828529787,26.9868439311841,23.5,5.01789221648199
"48",48,70.5064572401695,1.61345374026384,27.8800890195667,24,5.49354275983057
"49",49,69.5209889127821,1.68624231433017,28.7927687728877,24.5,5.97901108721787
"50",50,68.5298837037311,1.74783959371818,29.7222767025507,25,6.47011629626892
"51",51,67.5373862242902,1.79696554370016,30.6656482320097,25.5,6.9626137757098
"52",52,66.5476717831306,1.83268691855688,31.6196412983125,26,7.45232821686943
"53",53,65.5647237966872,1.85444888804796,32.5808273152648,26.5,7.93527620331278
"54",54,64.5922273548995,1.86208507846355,33.545687566637,27,8.40777264510056
"55",55,63.633484514825,1.85580616129417,34.5107093238808,27.5,8.866515485175
"56",56,62.6913534199752,1.83616986379885,35.472476716226,28,9.30864658002482
"57",57,61.7682118976099,1.80403597326999,36.4277521291201,28.5,9.73178810239009
"58",58,60.8659438766971,1.76051115249406,37.3735449708089,29,10.134056123303
"59",59,59.9859458897694,1.70688822996463,38.307165880266,29.5,10.5140541102307
"60",60,59.1291500781265,1.64458439999038,39.2262655218831,30,10.8708499218735
"61",61,58.2960597358716,1.57508206954843,40.12885819458,30.5,11.2039402641285
"62",62,57.4867934836299,1.49987522410669,41.0133312922635,31,11.5132065163702
"63",63,56.7011345069495,1.4204232375261,41.8784422555244,31.5,11.7988654930505
"64",64,55.9385818046952,1.33811317181009,42.7233050234947,32,12.0614181953048
"65",65,55.1984009900556,1.25423085144061,43.5473681585038,32.5,12.3015990099444
"66",66,54.4796727888262,1.16994040217053,44.3503868090033,33,12.5203272111738
"67",67,53.7813379376467,1.08627152030558,45.1323905420477,33.5,12.7186620623533
"68",68,53.1022376674922,1.00411347510395,45.8936488574039,34,12.8977623325079
"69",69,52.4411493534982,0.924214719227658,46.6346359272741,34.5,13.0588506465018
"70",70,51.7968172193618,0.847186960732449,47.3559958199058,35,13.2031827806382
"71",71,51.1679782107748,0.773512604985785,48.0585091842395,35.5,13.3320217892253
"72",72,50.5533833085668,0.703554579288697,48.7430621121445,36,13.4466166914332
"73",73,49.9518146513172,0.637567684625806,49.410617664057,36.5,13.5481853486828
"74",74,49.3620988915966,0.575710760791025,50.0621903476124,37,13.6379011084034
"75",75,48.7831172310105,0.5180590909487,50.6988236780408,37.5,13.7168827689895
"76",76,48.213812576374,0.464616601521676,51.3215708221043,38,13.786187423626
"77",77,47.6531942403609,0.415327528567072,51.9314782310721,38.5,13.8468057596392
"78",78,47.1003405808281,0.370087320466059,52.5295720987059,39,13.899659419172
"79",79,46.5543999381852,0.328752628559053,53.1168474332558,39.5,13.9456000618148
"80",80,46.0145901928711,0.291150303205845,53.694259503923,40,13.9854098071289
"81",81,45.4801972274512,0.257085364217862,54.2627174083309,40.5,14.0198027725488
"82",82,44.9505725415163,0.226347953591663,54.8230795048921,41,14.0494274584838
"83",83,44.4251302333617,0.198719306936419,55.3761504597019,41.5,14.0748697666383
"84",84,43.9033435304897,0.173976800033306,55.922679669477,42,14.0966564695103
"85",85,43.3847410250364,0.151898138893295,56.4633608360703,42.5,14.1152589749636
"86",86,42.8689027365873,0.13226477073162,56.9988324926811,43,14.1310972634127
"87",87,42.3554561116759,0.114864595355818,57.5296792929683,43.5,14.1445438883242
"88",88,41.8440720470962,0.0994940578989323,58.0564338950048,44,14.1559279529038
"89",89,41.334460998099,0.0859596993254171,58.5795793025756,44.5,14.1655390019011
"90",90,40.826369226218,0.0740792398082374,59.0995515339738,45,14.173630773782
"91",91,40.3195752254027,0.0636822645379374,59.6167425100594,45.5,14.1804247745973
"92",92,39.8138863533754,0.0546105757398581,60.1315030708848,46,14.1861136466247
"93",93,39.3091356861107,0.0467182692151675,60.6441460446742,46.5,14.1908643138894
"94",94,38.8051791053327,0.0398715876440841,61.1549493070233,47,14.1948208946674
"95",95,38.3018926224961,0.0339485970782158,61.6641587804257,47.5,14.1981073775039
"96",96,37.7991699375042,0.0288387273826812,62.1719913351131,48,14.2008300624958
"97",97,37.2969202262892,0.0244422119699177,62.6786375617409,48.5,14.2030797737109
"98",98,36.7950661482467,0.0206694571292902,63.1842643946241,49,14.2049338517534
"99",99,36.2935420621994,0.0174403665809627,63.6890175712196,49.5,14.2064579378006
"100",100,35.7922924379626,0.0146836426182357,64.1930239194192,50,14.2077075620375
"101",101,35.2912704495829,0.0123360813554874,64.6963934690617,50.5,14.2087295504172
"102",102,34.7904367358165,0.0103418761623243,65.1992213880212,51,14.2095632641836
"103",103,34.289758313309,0.00865194033395477,65.7015897463571,51.5,14.2102416866911
"104",104,33.7892076281598,0.00722325740381074,66.2035691144364,52,14.2107923718402
"105",105,33.2887617320242,0.00601826522624599,66.7052200027496,52.5,14.2112382679759
"106",106,32.7884015695568,0.00500427802009475,67.2065941524232,53,14.2115984304433
"107",107,32.28811136479,0.00415294894003571,67.70773568627,53.5,14.2118886352101
"108",108,31.7878780949072,0.00343977440356663,68.2086821306893,54,14.2121219050929
"109",109,31.2876910407907,0.00284364031751575,68.7094653188918,54.5,14.2123089592093
"110",110,30.7875414046568,0.0023464094902088,69.210112185853,55,14.2124585953433
"111",111,30.287421986015,0.00193254885538535,69.7106454651296,55.5,14.212578013985
"112",112,29.7873269080867,0.00158879464460999,70.2110842972687,56,14.2126730919134
"113",113,29.2872513876728,0.0013038533008644,70.7114447590264,56.5,14.2127486123273
"114",114,28.7871915422652,0.00106813570375916,71.2117403220311,57,14.2128084577349
"115",115,28.2871442289432,0.000873522154987719,71.7119822489018,57.5,14.2128557710569
"116",116,27.7871069102797,0.000713155532074663,72.2121799341882,58,14.2128930897204
"117",117,27.2870775431064,0.000581260042164202,72.7123411968514,58.5,14.2129224568936
"118",118,26.7870544865464,0.000472983080733141,73.2124725303728,59,14.2129455134537
"119",119,26.2870364262241,0.000384257809952529,73.712579315966,59.5,14.212963573776
"120",120,25.7870223120062,0.000311684207165453,74.2126660037867,60,14.2129776879939
"121",121,25.2870113070193,0.000252426486594492,74.7127362664941,60.5,14.2129886929808
"122",122,24.7870027460293,0.000204124959568471,75.2127931290112,61,14.2129972539708
"123",123,24.2869961015677,0.000164820564345191,75.712839077868,61.5,14.2130038984324
"124",124,23.7869909564453,0.000132890461362539,76.2128761530933,62,14.2130090435548
"125",125,23.2869869815142,0.000106993249937483,76.7129060252358,62.5,14.2130130184858
"126",126,22.7869839177286,8.60225154550613e-05,77.212930059756,63,14.2130160822715
"127",127,22.2869815617146,6.90675601407905e-05,77.7129493707253,63.5,14.2130184382855
