"","time","S","I","R","V","Total"
"1",1,99.8999,1e-04,0.1,0.1,1e-04
"2",2,99.8998283489557,0.000141736562275264,0.100029914482027,0.1,0.000171651044301801
"3",3,99.8997267937328,0.000200892163669399,0.100072314103497,0.1,0.000273206267166219
"4",4,99.8995828535669,0.000284736714893846,0.100132409718256,0.1,0.00041714643314946
"5",5,99.8993788392034,0.00040357394097409,0.100217586855692,0.1,0.000621160796665737
"6",6,99.8990896790109,0.000572007540204389,0.100338313448873,0.1,0.00091032098907701
"7",7,99.8986798417458,0.000810733413679871,0.100509424840563,0.1,0.00132015825424277
"8",8,99.8980989662827,0.00114908482346381,0.100751948893783,0.1,0.00190103371724644
"9",9,99.8972756835116,0.0016286300916553,0.101095686396787,0.1,0.00272431648844193
"10",10,99.8961088516417,0.00230827593238965,0.101582872425943,0.1,0.00389114835833277
"11",11,99.8944551481794,0.00327149090761083,0.102273360913018,0.1,0.00554485182062877
"12",12,99.8921114966287,0.0046365334091896,0.103251969962153,0.1,0.00788850337134215
"13",13,99.8887901905166,0.0065709249170912,0.104638884566323,0.1,0.0112098094834139
"14",14,99.8840837061889,0.00931191246266536,0.106604381348451,0.1,0.0159162938111168
"15",15,99.8774149472473,0.0131953827931359,0.1093896699596,0.1,0.0225850527527363
"16",16,99.8679670065965,0.0186966388233136,0.113336354580194,0.1,0.0320329934035081
"17",17,99.8545841123754,0.0264878235122191,0.118928064112361,0.1,0.0454158876245802
"18",18,99.8356323110823,0.0375185211377157,0.126849167779957,0.1,0.0643676889176724
"19",19,99.8088040994799,0.0531284576478985,0.13806744287223,0.1,0.0911959005201285
"20",20,99.7708456958271,0.075204164525842,0.153950139647073,0.1,0.129154304172915
"21",21,99.7171789032344,0.106394864299661,0.176426232465917,0.1,0.182821096765579
"22",22,99.6413815717339,0.150406403145018,0.208212025121129,0.1,0.258618428266148
"23",23,99.5344839530168,0.212393966437724,0.253122080545469,0.1,0.365516046983194
"24",24,99.3840347038382,0.299472443199166,0.316492852962645,0.1,0.515965296161811
"25",25,99.1729000326613,0.421350765992261,0.405749201346431,0.1,0.727099967338691
"26",26,98.8777933026979,0.591063487819995,0.531143209482189,0.1,1.02220669730218
"27",27,98.467620310703,0.825701175838192,0.706678513458865,0.1,1.43237968929706
"28",28,97.9018963604932,1.14690821701469,0.951195422492111,0.1,1.9981036395068
"29",29,97.1298041939889,1.58069062008909,1.28950518592208,0.1,2.77019580601117
"30",30,96.0908622048824,2.15581684434394,1.75332095077374,0.1,3.80913779511768
"31",31,94.7186580373556,2.89983293836086,2.38150902428357,0.1,5.18134196264443
"32",32,92.9491571326728,3.83188570948572,3.21895715784153,0.1,6.95084286732725
"33",33,90.7342158123694,4.95253381585772,4.31325037177293,0.1,9.16578418763065
"34",34,88.0584416112634,6.23291882883764,5.70863955989894,0.1,11.8415583887366
"35",35,84.9540127420037,7.60826638162905,7.4377208763673,0.1,14.9459872579963
